AC_TYPEID,SSD_NAME
737,BOEING 737 MAX 7
740,MD-11
745,EMBRAER-550
746,EMBRAER EMB500 PHE
748,EMBRAER EMB195
749,GULFSTREAM AEROSPA
750,GULFSTREAM G650
751,BOMBARDIER GLOBAL 
752,GULFSTREAM AEROSPA
753,GULFSTREAM AEROSPA
754,EMBRAER PRAETOR 60
755,EMBRAER LEGACY 600
760,L-1011-1/100/200
765,L-1011-500 TRISTAR
767,BOMBARDIER CRJ-100
770,FALCON 900
771,FALCON 50
774,DASSAULT FALCON 
775,DASSAULT FALCON 7X
776,DASSAULT FALCON 6X
777,BOMBARDIER CHALLEN
780,TUPOLEV 154
788,GLOBAL 6000
792,YAKOLEV 42
800,BOEING 707-100
802,BOEING 707-100B
804,BOEING 707-200
806,BOEING 707-300
808,BOEING 707-300B
809,BOEING 707-300C
810,BOEING 707-400
812,BOEING 720
814,BOEING 720-B
816,BOEING 747-100
817,BOEING 747-200/300
818,BOEING 747C
819,BOEING 747-400
820,BOEING 747-4F
821,BOEING B747-8
822,BOEING 747SP
823,BOEING 747-200F
824,AIRBUS A330-900neo
825,CONVAIR 880
830,CONVAIR 990
833,EMB LEGACY 650
835,AVROLINER RJ85
836,A350-1000
837,B787-10 DREAMLINER
838,B737 MAX 800
839,B737 MAX 900
840,DOUGLAS DC-8-10
842,DOUGLAS DC-8-20
844,DOUGLAS DC-8-30
846,DOUGLAS DC-8-40
848,DOUGLAS DC-8-50
850,DOUGLAS DC-8-50F
851,DOUGLAS DC-8-61
852,DOUGLAS DC-8-63F
854,DOUGLAS DC-8-62
856,DOUGLAS DC-8-63
860,DOUGLAS DC-8-71
862,DOUGLAS DC-8-72
864,DOUGLAS DC-8-73
865,DOUGLAS DC-8-73F
866,BAE-146-100/RJ70
867,BAE-146-200
868,BAE-146-300
870,LOCKHEED JETSTAR
871,A340-300
872,A340-500
873,A340-200
874,A340-600
875,CONCORDE
876,ILYUSHIN 62
877,ILYUSHIN 76/TD
878,ILYUSHIN 86
879,ILYUSHIN 96
880,ANTONOV 124
881,IL-96-40T
882,A380-800
885,BOEING B737-MAX10
887,B787-8 DREAMLINER
888,B737-900ER
889,B787-9 DREAMLINER
890,ANTONOV 225
